id,type,attributes.bearing,attributes.carriages,attributes.current_status,attributes.current_stop_sequence,attributes.direction_id,attributes.label,attributes.latitude,attributes.longitude,attributes.occupancy_status,attributes.revenue,attributes.speed,attributes.updated_at,links.self,relationships.route.data.id,relationships.route.data.type,relationships.stop.data,relationships.trip.data.id,relationships.trip.data.type,relationships.stop.data.id,relationships.stop.data.type
O-548636BF,vehicle,185.0,"[{'label': '1516', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 8}, {'label': '1517', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 6}, {'label': '1472', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 15}, {'label': '1473', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5}, {'label': '1541', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 7}, {'label': '1540', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 11}]",STOPPED_AT,1.0,0.0,1516,42.43773,-71.07093,,REVENUE,,2025-10-28T12:43:29-04:00,/vehicles/O-548636BF,Orange,route,,70525449,trip,Oak Grove-02,stop
y3129,vehicle,0.0,[],STOPPED_AT,1.0,1.0,3129,42.42675,-71.07462,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:44-04:00,/vehicles/y3129,101,route,,71995313,trip,5072,stop
y1676,vehicle,270.0,[],STOPPED_AT,1.0,0.0,1676,42.30269,-71.11025,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:50-04:00,/vehicles/y1676,32,route,,72094810,trip,875,stop
ynk319,vehicle,341.0,[],IN_TRANSIT_TO,,,319,42.349903,-71.077161,,REVENUE,,2025-10-28T12:44:58-04:00,/vehicles/ynk319,Shuttle-Generic,route,,BL-117920003,trip,,
y2074,vehicle,18.0,[],STOPPED_AT,1.0,1.0,2074,42.512138,-71.091639,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:05-04:00,/vehicles/y2074,137,route,,71994480,trip,29253,stop
y1315,vehicle,127.0,[],STOPPED_AT,6.0,1.0,1315,42.348934,-71.042716,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y1315,743,route,,72041129,trip,17096,stop
R-54860172,vehicle,85.0,"[{'label': '1883', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1882', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1857', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1856', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1858', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1859', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,1.0,0.0,1883,42.39621,-71.14054,,REVENUE,,2025-10-28T12:44:10-04:00,/vehicles/R-54860172,Red,route,,70953884,trip,Alewife-01,stop
y2092,vehicle,,[],STOPPED_AT,7.0,0.0,2092,42.392511,-71.034196,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:58-04:00,/vehicles/y2092,111,route,,71993989,trip,5615,stop
y1992,vehicle,148.0,[],IN_TRANSIT_TO,22.0,1.0,1992,42.368502,-71.059684,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:12-04:00,/vehicles/y1992,111,route,,71993856,trip,2829,stop
y1417,vehicle,56.0,[],STOPPED_AT,40.0,0.0,1417,42.437168,-71.025865,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1417,108,route,,71997694,trip,9068,stop
